订单号,订单日期,产品类别,产品名称,销售区域,城市,销售渠道,客户类型,数量,单价,折扣率,销售额
ORD20262697,2024-01-01,家居用品,北欧落地灯,华中,长沙,线上商城,个人用户,5,781.83,0.0,3909.15
ORD20265039,2024-01-01,美妆个护,防晒喷雾,华中,长沙,线下门店,会员用户,9,572.59,0.3,3607.32
ORD20244440,2024-01-01,电子产品,高清显示器,西南,成都,APP,个人用户,7,8902.48,0.3,43622.15
ORD20240484,2024-01-01,电子产品,无线蓝牙耳机,华中,长沙,APP,个人用户,7,8290.55,0.3,40623.69
ORD20257620,2024-01-01,食品饮料,有机牛奶,西南,重庆,小程序,企业采购,13,274.23,0.1,3208.49
ORD20246836,2024-01-01,食品饮料,手工巧克力,华东,宁波,小程序,个人用户,2,226.53,0.05,430.41
ORD20241219,2024-01-01,电子产品,机械键盘,华中,长沙,线上商城,个人用户,3,4161.27,0.1,11235.43
ORD20248576,2024-01-01,运动户外,运动水壶,华东,苏州,APP,企业采购,5,1102.7,0.15,4686.47
ORD20265371,2024-01-01,母婴玩具,遥控玩具车,华南,佛山,线上商城,会员用户,1,125.54,0.0,125.54
ORD20248583,2024-01-01,运动户外,健身哑铃,西南,重庆,线上商城,个人用户,2,1083.03,0.15,1841.15
ORD20255234,2024-01-01,办公用品,中性笔套装,西南,昆明,小程序,企业采购,10,345.24,0.15,2934.54
ORD20257163,2024-01-01,家居用品,加湿器,华北,石家庄,小程序,企业采购,4,1143.39,0.3,3201.49
ORD20249800,2024-01-01,办公用品,办公椅,东北,沈阳,线上商城,个人用户,11,614.47,0.15,5745.29
ORD20265483,2024-01-01,食品饮料,坚果零食礼包,华北,石家庄,线上商城,个人用户,12,150.18,0.0,1802.16
ORD20245155,2024-01-01,办公用品,碎纸机,华东,上海,小程序,企业采购,2,47.61,0.0,95.22
ORD20266022,2024-01-01,食品饮料,坚果零食礼包,华东,宁波,线上商城,个人用户,7,253.79,0.05,1687.7
ORD20258196,2024-01-01,运动户外,运动水壶,华东,上海,线上商城,会员用户,3,418.38,0.1,1129.63
ORD20254256,2024-01-01,食品饮料,坚果零食礼包,华南,深圳,APP,个人用户,3,153.34,0.15,391.02
ORD20269517,2024-01-01,电子产品,高清显示器,华南,佛山,APP,个人用户,2,3960.57,0.3,5544.8
ORD20252856,2024-01-01,运动户外,运动水壶,华南,东莞,线上商城,企业采购,2,261.38,0.15,444.35
ORD20264705,2024-01-01,食品饮料,有机牛奶,华东,苏州,线上商城,企业采购,5,89.21,0.0,446.05
ORD20262278,2024-01-01,母婴玩具,婴儿纸尿裤,华南,东莞,APP,企业采购,1,257.68,0.0,257.68
ORD20264921,2024-01-01,服装鞋帽,纯棉T恤,华南,深圳,APP,企业采购,4,181.82,0.0,727.28
ORD20242559,2024-01-01,母婴玩具,遥控玩具车,西南,贵阳,小程序,会员用户,3,539.29,0.0,1617.87
ORD20246402,2024-01-01,美妆个护,氨基酸洁面,华东,宁波,小程序,会员用户,2,353.54,0.15,601.02
ORD20246726,2024-01-01,电子产品,智能手表,华东,宁波,APP,企业采购,4,1346.83,0.1,4848.59
ORD20257481,2024-01-01,家居用品,北欧落地灯,华北,太原,APP,企业采购,11,355.44,0.3,2736.89
ORD20267141,2024-01-01,服装鞋帽,防风外套,华东,杭州,线下门店,个人用户,4,564.42,0.2,1806.14
ORD20268498,2024-01-01,服装鞋帽,防风外套,西南,昆明,APP,个人用户,8,403.56,0.15,2744.21
ORD20256881,2024-01-01,食品饮料,挂耳咖啡,华南,广州,小程序,企业采购,9,183.76,0.0,1653.84
ORD20261647,2024-01-01,电子产品,高清显示器,华北,石家庄,APP,企业采购,5,8451.94,0.2,33807.76
ORD20257076,2024-01-01,电子产品,智能手机,华南,佛山,小程序,会员用户,5,2801.23,0.15,11905.23
ORD20269952,2024-01-01,服装鞋帽,跑步鞋,华南,佛山,线上商城,个人用户,2,743.49,0.0,1486.98
ORD20255935,2024-01-01,服装鞋帽,修身牛仔裤,华中,长沙,线上商城,企业采购,7,545.98,0.05,3630.77
ORD20240594,2024-01-01,办公用品,中性笔套装,西南,贵阳,APP,企业采购,3,437.32,0.1,1180.76
ORD20269410,2024-01-01,电子产品,高清显示器,西南,重庆,APP,个人用户,1,3855.47,0.0,3855.47
ORD20252968,2024-01-01,电子产品,无线蓝牙耳机,华东,杭州,小程序,个人用户,3,2720.46,0.0,8161.38
ORD20261827,2024-01-01,食品饮料,手工巧克力,华中,郑州,线上商城,会员用户,5,221.62,0.0,1108.1
ORD20258115,2024-01-01,办公用品,碎纸机,东北,沈阳,线上商城,企业采购,2,636.99,0.0,1273.98
ORD20256782,2024-01-01,电子产品,无线蓝牙耳机,西北,兰州,线上商城,个人用户,4,1813.16,0.2,5802.11
ORD20262208,2024-01-01,电子产品,高清显示器,西南,成都,线下门店,企业采购,2,5486.68,0.3,7681.35
ORD20251374,2024-01-01,电子产品,机械键盘,华南,佛山,线上商城,企业采购,3,3152.67,0.0,9458.01
ORD20269108,2024-01-01,母婴玩具,遥控玩具车,华东,南京,APP,企业采购,2,370.58,0.2,592.93
ORD20244155,2024-01-01,办公用品,办公椅,华南,深圳,线上商城,个人用户,7,594.88,0.1,3747.74
ORD20242984,2024-01-01,食品饮料,坚果零食礼包,华南,广州,小程序,企业采购,14,172.86,0.1,2178.04
ORD20260002,2024-01-01,家居用品,加湿器,华南,广州,APP,个人用户,5,1052.62,0.2,4210.48
ORD20242822,2024-01-01,母婴玩具,婴儿纸尿裤,华南,深圳,APP,个人用户,6,288.24,0.1,1556.5
ORD20261120,2024-01-01,服装鞋帽,防风外套,华东,上海,线上商城,个人用户,4,150.66,0.1,542.38
ORD20255537,2024-01-01,家居用品,实木置物架,西北,兰州,APP,会员用户,8,1519.07,0.15,10329.68
ORD20247809,2024-01-01,电子产品,便携充电宝,华东,上海,线上商城,个人用户,3,6889.09,0.1,18600.54
ORD20242096,2024-01-01,食品饮料,有机牛奶,华东,南京,线下门店,会员用户,3,268.45,0.0,805.35
ORD20257759,2024-01-01,办公用品,中性笔套装,华南,深圳,小程序,企业采购,5,414.32,0.0,2071.6
ORD20245177,2024-01-01,运动户外,运动水壶,华东,苏州,线下门店,会员用户,1,558.68,0.05,530.75
ORD20259246,2024-01-01,服装鞋帽,纯棉T恤,华东,杭州,小程序,个人用户,1,388.46,0.05,369.04
ORD20264995,2024-01-01,服装鞋帽,防风外套,华东,上海,APP,个人用户,9,234.63,0.3,1478.17
ORD20265553,2024-01-01,电子产品,机械键盘,华东,上海,小程序,企业采购,2,1225.18,0.15,2082.81
ORD20249058,2024-01-01,家居用品,实木置物架,西南,成都,线上商城,会员用户,3,98.96,0.0,296.88
ORD20249039,2024-01-01,运动户外,健身哑铃,华中,郑州,小程序,会员用户,2,752.42,0.3,1053.39
ORD20259551,2024-01-01,美妆个护,保湿面霜,西南,重庆,小程序,个人用户,2,285.07,0.2,456.11
ORD20253321,2024-01-01,食品饮料,手工巧克力,华东,南京,APP,个人用户,22,36.53,0.2,642.93
ORD20252253,2024-01-01,办公用品,中性笔套装,华南,深圳,线上商城,个人用户,13,55.62,0.15,614.6
ORD20243813,2024-01-01,服装鞋帽,修身牛仔裤,西北,兰州,线下门店,个人用户,4,198.69,0.0,794.76
ORD20258753,2024-01-01,电子产品,机械键盘,华南,广州,小程序,个人用户,3,1677.78,0.0,5033.34
ORD20259226,2024-01-01,家居用品,陶瓷餐具套装,华北,太原,APP,个人用户,1,756.19,0.0,756.19
ORD20253394,2024-01-01,家居用品,北欧落地灯,华北,石家庄,小程序,个人用户,1,378.54,0.05,359.61
ORD20249275,2024-01-01,美妆个护,防晒喷雾,华南,佛山,APP,个人用户,7,445.14,0.3,2181.19
ORD20265229,2024-01-01,家居用品,陶瓷餐具套装,东北,哈尔滨,线上商城,企业采购,3,482.92,0.0,1448.76
ORD20245118,2024-01-01,运动户外,健身哑铃,华东,杭州,线上商城,个人用户,1,335.24,0.0,335.24
ORD20250847,2024-01-02,运动户外,瑜伽垫,华中,郑州,APP,企业采购,2,1171.57,0.2,1874.51
ORD20240632,2024-01-02,办公用品,碎纸机,华南,深圳,APP,企业采购,8,405.68,0.15,2758.62
ORD20241000,2024-01-02,食品饮料,坚果零食礼包,华东,苏州,线上商城,企业采购,11,280.6,0.05,2932.27
ORD20249420,2024-01-02,电子产品,智能手机,西南,贵阳,APP,会员用户,2,4215.28,0.15,7165.98
ORD20252254,2024-01-02,美妆个护,氨基酸洁面,华东,苏州,线上商城,会员用户,1,258.01,0.1,232.21
ORD20249349,2024-01-02,食品饮料,坚果零食礼包,华东,苏州,线上商城,个人用户,12,238.22,0.05,2715.71
ORD20262986,2024-01-02,电子产品,机械键盘,华南,佛山,线上商城,个人用户,2,6088.65,0.0,12177.3
ORD20262440,2024-01-02,服装鞋帽,跑步鞋,华北,北京,小程序,会员用户,11,258.31,0.2,2273.13
